update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
1.0,1.9806466102600098,512.0,-3.1315090656280518,-51.02507400512695,-50.967044830322266,0.0,0.0,0.0,0.0,1536.0,0.022219157467285793,1309.3993001302083,1.839731752872467,0.11372584360651672,0.4876302083333333,654.7034688313802,1.0
2.0,3.2947635650634766,512.0,-3.4199564456939697,-55.55152893066406,-53.94294357299805,0.001953125,1.0,-1322.03759765625,371.0,3072.0,0.016572014583895605,1656.5362996419271,1.8434747298558554,0.04647860643841947,0.38307291666666665,828.2662902832031,2.0
3.0,4.796464681625366,512.0,-3.4535372257232666,-57.9339599609375,-54.13166427612305,0.001953125,1.0,-1342.0850830078125,367.0,4608.0,0.0012677779731651148,1664.8215169270834,1.8489388187726339,0.025195468069675066,0.2850260416666667,832.3935302734375,3.0
4.0,7.036962985992432,512.0,-3.3603675365448,-58.631195068359375,-52.244354248046875,0.001953125,1.0,-1619.8692626953125,480.0,6144.0,-0.0018632152893890937,1551.9051635742187,1.8589544336001078,0.030042698938632383,0.2955078125,775.93212890625,4.0
5.0,9.309900999069214,512.0,-3.4259955883026123,-62.3744010925293,-52.89335250854492,0.001953125,1.0,-1670.77734375,485.0,7680.0,-0.0015089275781065225,1583.652217610677,1.8703929344813028,0.01849166171353621,0.23365885416666668,791.8058919270833,5.0
6.0,11.079349279403687,512.0,-3.5412540435791016,-66.0214614868164,-54.043025970458984,0.001953125,1.0,-1494.34130859375,404.0,9216.0,-0.00431230867591997,1645.2355916341146,1.8806461095809937,0.017102066569107895,0.210546875,822.594677734375,6.0
7.0,12.31352710723877,512.0,-3.4388465881347656,-65.8637924194336,-51.890533447265625,0.001953125,1.0,-1286.2242431640625,357.0,10752.0,-0.0002311785239726305,1520.922998046875,1.8838399211565653,0.02893326790848126,0.278515625,760.4424072265625,7.0
8.0,13.567923545837402,512.0,-3.3656017780303955,-65.8597640991211,-50.540863037109375,0.001953125,1.0,-972.4418334960938,258.0,12288.0,-0.0023882522402952117,1453.7388427734375,1.8825076460838317,0.017944120961086205,0.21686197916666666,726.8482238769532,8.0
9.0,14.769233465194702,512.0,-3.1233654022216797,-64.66834259033203,-48.167171478271484,0.0,0.0,0.0,0.0,13824.0,-0.002080797714491685,1171.395772298177,1.8768887797991434,0.012249967374373227,0.165625,585.6770406087239,9.0
10.0,15.939104557037354,512.0,-3.436713457107544,-69.09789276123047,-51.08989334106445,0.001953125,1.0,-898.597900390625,229.0,15360.0,-0.0011890743859112262,1475.5875040690105,1.8670106013615926,0.017630932936056828,0.2201171875,737.7738830566407,10.0,-1332.8707275390625,0.0,417.0,0.0,1.0,0.0,1.0
11.0,20.858832836151123,512.0,-3.410097122192383,-69.53838348388672,-50.48360061645508,0.001953125,1.0,-1152.7603759765625,315.0,16896.0,-0.0015276516477266946,1437.062117513021,1.8709977865219116,0.01959157315044043,0.22936197916666667,718.5108235677084,11.0
12.0,22.535730123519897,512.0,-2.8156096935272217,-62.63911819458008,-42.455230712890625,0.0,0.0,0.0,0.0,18432.0,-0.0044319177977740765,910.5814921061198,1.87907368739446,0.014152396976714953,0.18854166666666666,455.26752217610675,12.0
13.0,24.251336574554443,512.0,-2.558579921722412,-59.37117385864258,-37.948795318603516,0.0,0.0,0.0,0.0,19968.0,-0.0012184147102137406,728.4750244140625,1.8815128167470296,0.006591746434181308,0.08444010416666667,364.2174814860026,13.0
14.0,26.264715433120728,512.0,-3.6793782711029053,-75.07589721679688,-52.456634521484375,0.00390625,2.0,-888.74609375,237.5,21504.0,0.0002599194801102082,1680.4665568033854,1.888598879178365,0.007422520392962421,0.0951171875,840.2146545410156,14.0
15.0,27.46044659614563,512.0,-2.834177255630493,-65.76725769042969,-42.21787643432617,0.0,0.0,0.0,0.0,23040.0,-0.0040813793738683065,897.2946105957031,1.889555847644806,0.011269191332394258,0.14537760416666667,448.62432861328125,15.0
16.0,28.60385251045227,512.0,-2.619295835494995,-63.13901901245117,-38.42015075683594,0.0,0.0,0.0,0.0,24576.0,-0.0026107350674768287,750.4475769042969,1.8815479437510172,0.009742043958976866,0.12552083333333333,375.2023620605469,16.0
17.0,30.103747606277466,512.0,-3.2839584350585938,-72.952392578125,-47.17707443237305,0.001953125,1.0,-734.4558715820312,178.0,26112.0,-0.0053420966801544035,1279.5953653971353,1.8795970241228739,0.012994190045477201,0.1634765625,639.7735453287761,17.0
18.0,31.271450519561768,512.0,-2.520038604736328,-63.25761413574219,-36.482547760009766,0.0,0.0,0.0,0.0,27648.0,0.0005761502465854089,675.7264526367187,1.8819464405377706,0.01122613784003382,0.14973958333333334,337.84498291015626,18.0
19.0,32.42870759963989,512.0,-2.462918519973755,-63.06498336791992,-35.32449722290039,0.0,0.0,0.0,0.0,29184.0,-0.003707913092027108,642.6364603678386,1.8759090582529703,0.010454245751801258,0.13815104166666667,321.29576314290364,19.0
20.0,33.59525680541992,512.0,-2.942103624343872,-69.66465759277344,-40.92033386230469,0.001953125,1.0,-1162.1484375,389.0,30720.0,-0.006850509469707807,991.084814453125,1.8751479029655456,0.011328366835368798,0.14466145833333333,495.5168090820313,20.0,-1022.0751953125,0.0,373.0,0.0,1.0,0.0,1.0
21.0,37.62680912017822,512.0,-2.9765427112579346,-71.10872650146484,-41.3972053527832,0.001953125,1.0,-1169.3328857421875,381.0,32256.0,-0.004061883005003135,1004.3043863932292,1.8812143405278523,0.008751851541455835,0.11302083333333333,502.1293253580729,21.0
22.0,39.151164531707764,512.0,-3.5959854125976562,-79.85079956054688,-49.17266845703125,0.00390625,2.0,-697.4032592773438,176.0,33792.0,-0.004282066722710928,1492.0795613606772,1.8962649782498677,0.012578215205576272,0.15540364583333333,746.0165344238281,22.0
23.0,40.409440994262695,512.0,-2.5077788829803467,-67.01551055908203,-35.417659759521484,0.0,0.0,0.0,0.0,35328.0,-0.0020246320093671483,644.0874064127604,1.900932741165161,0.008355990558629855,0.11126302083333334,322.0226694742839,23.0
24.0,41.842530250549316,512.0,-2.31012225151062,-64.51776885986328,-31.99528694152832,0.0,0.0,0.0,0.0,36864.0,-0.004834097204729914,534.1240885416667,1.901498512427012,0.009156255575362593,0.12259114583333333,267.03819274902344,24.0
25.0,42.934871196746826,512.0,-2.665422201156616,-68.86470794677734,-35.39496994018555,0.001953125,1.0,-1186.5167236328125,451.0,38400.0,-0.004094475973397493,786.1661702473958,1.8963034788767497,0.012160779442638159,0.166796875,393.0600280761719,25.0
26.0,44.19012975692749,512.0,-2.4586379528045654,-68.55329132080078,-34.16722106933594,0.0,0.0,0.0,0.0,39936.0,-0.0036403209436684848,604.8536580403646,1.898346447944641,0.010090136737562715,0.13359375,302.4042124430338,26.0
27.0,45.440922260284424,512.0,-2.387127161026001,-68.16140747070312,-32.9040412902832,0.0,0.0,0.0,0.0,41472.0,-0.0024873856144646805,558.8708455403646,1.8937682112058003,0.007037985617838179,0.09225260416666667,279.41399739583335,27.0
28.0,46.73953723907471,512.0,-2.1895041465759277,-65.5163345336914,-29.40846824645996,0.0,0.0,0.0,0.0,43008.0,-0.006104898530369004,456.2132100423177,1.894342796007792,0.007337995956186205,0.09661458333333334,228.08155670166016,28.0
