update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
1.0,22.65631866455078,512.0,-4.602541446685791,-213.4037628173828,-17.103139877319336,0.0078125,4.0,-517.1197891235352,110.25,1383936.0,-0.016565217915922404,334.9664098103841,3.5032392581303915,0.05915826102718711,0.223046875,167.4316062927246,901.0
2.0,42.235350131988525,512.0,-4.161010265350342,-204.0017547607422,-9.475615501403809,0.0078125,4.0,-470.3726577758789,101.0,1385472.0,-0.009406085095057885,107.38112335205078,3.5006547133127848,0.048767339127759136,0.25579427083333334,53.646148935953775,902.0
3.0,59.05565619468689,512.0,-4.157937526702881,-207.168701171875,-9.246319770812988,0.0078125,4.0,-476.1891098022461,106.75,1387008.0,-0.010264110130568346,68.47739067077637,3.500971452395121,0.058617280113200346,0.23033854166666667,34.19342187245687,903.0
4.0,76.22049617767334,512.0,-4.631898403167725,-215.9572296142578,-24.634119033813477,0.005859375,3.0,-706.3168741861979,140.33333333333334,1388544.0,-0.01239377069287002,1382.9770568847657,3.4991925319035846,0.08429690785706043,0.2521484375,691.4411549886067,904.0
5.0,93.97068214416504,512.0,-4.000188827514648,-209.300048828125,-12.570345878601074,0.005859375,3.0,-609.1296895345052,141.33333333333334,1390080.0,-0.01500546932220459,252.77623392740887,3.499686320622762,0.09152256759504478,0.3219401041666667,126.33811442057292,905.0
6.0,111.48957133293152,512.0,-4.245539665222168,-211.41204833984375,-9.460556983947754,0.0078125,4.0,-506.25963592529297,115.0,1391616.0,-0.010364823943624894,111.39258550008138,3.504626719156901,0.07582194867233435,0.21087239583333334,55.65088132222493,906.0
7.0,129.11825275421143,512.0,-3.6592721939086914,-184.0235137939453,-11.33181095123291,0.005859375,3.0,-592.844970703125,157.0,1393152.0,-0.0021007603810479242,225.02821146647136,3.507239294052124,0.10609783108035724,0.29733072916666664,112.47693176269532,907.0
8.0,146.60386538505554,512.0,-4.528070449829102,-212.4657745361328,-15.553009033203125,0.0078125,4.0,-578.1633071899414,127.5,1394688.0,-0.011932799344261487,298.77374471028645,3.5083347002665204,0.16134971405069035,0.28984375,149.33985646565756,908.0
9.0,164.8586301803589,512.0,-4.343684673309326,-210.6599578857422,-12.080668449401855,0.0078125,4.0,-507.98551177978516,109.75,1396224.0,0.011849484111492833,132.27373479207355,3.502723224957784,0.0781594262768825,0.28912760416666666,66.11369031270345,909.0
10.0,182.2992763519287,512.0,-3.37273907661438,-181.31736755371094,-14.23250675201416,0.00390625,2.0,-815.5077819824219,235.0,1397760.0,-0.006554712572445472,1480.8281168619792,3.5013453086217243,0.09505416937172413,0.2542317708333333,740.3724761962891,910.0,-489.79453125,77.18840260490103,93.4,0.0,1.0,0.0,1.0
11.0,219.19026470184326,512.0,-3.6738483905792236,-186.24481201171875,-10.939597129821777,0.005859375,3.0,-579.1445515950521,149.66666666666666,1399296.0,-0.0029772046332557996,325.1212493896484,3.5021268208821614,0.08777714694539705,0.23743489583333333,162.522629292806,911.0
12.0,236.76120233535767,512.0,-4.206003665924072,-216.9837188720703,-15.348881721496582,0.005859375,3.0,-628.6440226236979,135.33333333333334,1400832.0,-0.005328427844991286,851.4897705078125,3.5078103065490724,0.11336908886830012,0.28951822916666664,425.70447896321616,912.0
13.0,256.178053855896,512.0,-3.48370623588562,-184.429443359375,-11.817825317382812,0.00390625,2.0,-482.93212890625,109.0,1402368.0,-0.018812659103423356,931.8198669433593,3.513967728614807,0.10826664716005326,0.290234375,465.8559814453125,913.0
14.0,273.9160740375519,512.0,-4.95619535446167,-215.0565643310547,-14.848027229309082,0.009765625,5.0,-505.3056396484375,101.6,1403904.0,-0.01646478585898876,653.5645345052084,3.5204026222229006,0.05773376971483231,0.23665364583333334,326.73059743245443,914.0
